,Annual Revenue,ADR,Occupancy %,Guests,Status,Status Detail,Price,Price Change,Date Changed,Street Address,City,State,Zipcode,Beds,Baths,Sqft,Home Type,Units,Building Name,Zestimate,Rent Zestimate,Tax Assessed Value,HDP Price,Lot Area,Lot Area Unit,Broker Name,Days on Zillow,URL,Latitude,Longitude
0,51908,182,0.78,8,For Rent,Apartment For Rent,2795,,,(undisclosed Address),Bayside,NY,11361,3,1,,Apartment,,,,2756,,2795,,,Charles Rutenberg Realty,0,https://www.zillow.com/homedetails/Bayside-NY-11361/2054128164_zpid/,,
1,46442,181,0.7,6,For Rent,Apartment For Rent,2800,,,64-07 68th Ave #2,Ridgewood,NY,11385,2,1,,Apartment,,,,,,2800,,,Realty One Group Dynasty,0.04,https://www.zillow.com/homedetails/64-07-68th-Ave-2-Ridgewood-NY-11385/352293469_zpid/,40.705933,-73.894196
2,64235,281,0.63,10,For Rent,Apartment For Rent,5500,,,1375 232nd St #4,Springfield Gardens,NY,11413,4,2,1100,Apartment,,,,,,5500,,,,0.08,https://www.zillow.com/homedetails/1375-232nd-St-4-Springfield-Gardens-NY-11413/352293371_zpid/,40.68103,-73.734344
3,,,,,For Rent,For Rent,,,,221-08 64th Ave # 1,Oakland Gardens,NY,11364,,,,Unknown,,,,,,,,,,0,https://www.zillow.com/b/221-08-64th-ave-oakland-gardens-ny-BmxZr6/,,
4,63984,223,0.79,8,For Rent,Apartment For Rent,2695,,,5327 73rd St #1RIGHT,Maspeth,NY,11378,3,1,,Apartment,,,,,,2695,,,BLT MINIMAX REALTY INC.,0.12,https://www.zillow.com/homedetails/5327-73rd-St-1RIGHT-Maspeth-NY-11378/352292516_zpid/,40.730488,-73.89056
5,43915,249,0.48,8,For Rent,Apartment For Rent,3606,106,6/8/2024,16856 118th Rd FLOOR 2,Jamaica,NY,11434,3,1,1720,Apartment,,,,2874,,3606,,,JA Home Sales,0.12,https://www.zillow.com/homedetails/16856-118th-Rd-FLOOR-2-Jamaica-NY-11434/351448977_zpid/,40.68448,-73.775795
6,23597,129,0.5,2,For Rent,Apartment For Rent,2550,,,69-45 108th St #8I,Forest Hills,NY,11375,0,1,,Apartment,,,,2600,,2550,,,Keller Williams NYC,0.12,https://www.zillow.com/homedetails/69-45-108th-St-8I-Forest-Hills-NY-11375/2079050842_zpid/,40.723984,-73.8448
7,,,,,For Rent,For Rent,,,,65-70 Austin St   # 604,Rego Park,NY,11374,,,,Unknown,,,,,,,,,,0,https://www.zillow.com/b/65-70-austin-st-rego-park-ny-BTF3Dt/,,
8,49178,321,0.42,8,For Rent,Apartment For Rent,3200,,,5051 Clearview Expy FLOOR 2,Oakland Gardens,NY,11364,3,2,,Apartment,,,,3300,,3200,,,Landmark International R.E.,0.17,https://www.zillow.com/homedetails/5051-Clearview-Expy-FLOOR-2-Oakland-Gardens-NY-11364/350916924_zpid/,40.750217,-73.77357
9,49128,329,0.41,8,For Rent,Apartment For Rent,2900,,,21810 Horace Harding Expy FLOOR 2,Oakland Gardens,NY,11364,3,2,,Apartment,,,,,,2900,,,Keller Williams Realty Gold Coast,0.17,https://www.zillow.com/homedetails/21810-Horace-Harding-Expy-FLOOR-2-Oakland-Gardens-NY-11364/352290201_zpid/,40.747925,-73.75904
10,30343,119,0.7,2,For Rent,Apartment For Rent,1625,,,183-11 Hillside Ave #5H,Jamaica,NY,11432,0,1,,Apartment,,,,1700,,1625,,,E and G Realty Group,0.17,https://www.zillow.com/homedetails/183-11-Hillside-Ave-5H-Jamaica-NY-11432/2072311600_zpid/,40.714115,-73.77839
11,49049,283,0.47,8,For Rent,Apartment For Rent,3000,,,7740 168th St FLOOR 2,Fresh Meadows,NY,11366,3,2,1000,Apartment,,,,2999,,3000,,,,0.21,https://www.zillow.com/homedetails/7740-168th-St-FLOOR-2-Fresh-Meadows-NY-11366/2079228080_zpid/,40.723305,-73.80066
12,43415,193,0.62,6,For Rent,Apartment For Rent,2700,,,215-43 40th Ave #2,Bayside,NY,11361,2,2,,Apartment,,,389200,1270,,2700,,,Keller Williams Realty Gold Coast,0.21,https://www.zillow.com/homedetails/215-43-40th-Ave-2-Bayside-NY-11361/2097199694_zpid/,40.76518,-73.767166
13,30527,152,0.55,4,For Rent,Apartment For Rent,2100,,,66-02 111th St UNIT 3C,Forest Hills,NY,11375,1,1,800,Apartment,,,682200,3639,,2100,,,Advantage Realty of Forest Hills Inc,0.21,https://www.zillow.com/homedetails/66-02-111th-St-UNIT-3C-Forest-Hills-NY-11375/2062798980_zpid/,40.731426,-73.84554
14,61033,220,0.76,8,For Rent,Apartment For Rent,2800,,,6365 77th St FLOOR 2,Middle Village,NY,11379,3,2,,Apartment,,,,3056,,2800,,,Prospes Real Estate,0.25,https://www.zillow.com/homedetails/6365-77th-St-FLOOR-2-Middle-Village-NY-11379/345154475_zpid/,40.71842,-73.87834
15,49757,343,0.4,8,For Rent,Apartment For Rent,3200,,,(undisclosed Address),Oakland Gardens,NY,11364,3,2,1242,Apartment,,,1095600,2850,,3200,,,,0.25,https://www.zillow.com/homedetails/Oakland-Gardens-NY-11364/2079093371_zpid/,,
16,41472,189,0.6,4,For Rent,Apartment For Rent,1875,,,7411 Ditmars Blvd APT 1,East Elmhurst,NY,11370,1,1,,Apartment,,,,2228,,1875,,,Metroline Realty,0.25,https://www.zillow.com/homedetails/7411-Ditmars-Blvd-APT-1-East-Elmhurst-NY-11370/2069602210_zpid/,40.768665,-73.89485
17,67597,239,0.77,8,For Rent,Apartment For Rent,2800,,,107 Avenue,South Richmond Hill,NY,11419,3,1,1500,Apartment,,,,2800,89000,2800,,,,0.29,https://www.zillow.com/homedetails/107-Avenue-South-Richmond-Hill-NY-11419/112515074_zpid/,40.685947,-73.81683
18,,,,,For Rent,For Rent,,,,6264 Saunders St   # 2R,Rego Park,NY,11374,,,,Unknown,,,,,,,,,,0,https://www.zillow.com/b/6264-saunders-st-rego-park-ny-5YCyTQ/,,
19,21151,121,0.48,6,For Rent,Apartment For Rent,2500,,,45-62 Bell Blvd FLOOR 3,Bayside,NY,11361,2,1,750,Apartment,,,,2500,,2500,,,,0.33,https://www.zillow.com/homedetails/45-62-Bell-Blvd-FLOOR-3-Bayside-NY-11361/347558334_zpid/,40.758503,-73.76868
20,24609,156,0.43,4,For Rent,Apartment For Rent,2400,,,65-38 Booth St #A,Rego Park,NY,11374,1,1,,Apartment,,,,,,2400,,,The Realty Depot,0.38,https://www.zillow.com/homedetails/65-38-Booth-St-A-Rego-Park-NY-11374/352284290_zpid/,40.726875,-73.85877
21,42483,169,0.69,4,For Rent,Apartment For Rent,2525,,,97-20 Metropolitan Ave #2R,Forest Hills,NY,11375,1,1,550,Apartment,,,,2400,,2525,,,,0.38,https://www.zillow.com/homedetails/97-20-Metropolitan-Ave-2R-Forest-Hills-NY-11375/2079091469_zpid/,40.71099,-73.85494
22,26195,161,0.45,4,For Rent,Apartment For Rent,1500,,,7158 160th St,Fresh Meadows,NY,11365,1,1,650,Apartment,,,944600,2984,1263000,1500,,,B SQUARE REALTY,0.38,https://www.zillow.com/homedetails/7158-160th-St-Fresh-Meadows-NY-11365/32071999_zpid/,40.72828,-73.80918
23,30069,132,0.62,2,For Rent,Apartment For Rent,1800,,,14125 Northern Blvd APT B11,Flushing,NY,11354,0,1,500,Apartment,,,,1999,12078000,1800,,,,0.38,https://www.zillow.com/homedetails/14125-Northern-Blvd-APT-B11-Flushing-NY-11354/245366807_zpid/,40.76493,-73.82491
24,48503,211,0.63,6,For Rent,Apartment For Rent,4500,,,(undisclosed Address),Flushing,NY,11354,2,2,1060,Apartment,,,,,,4500,,,Skyview Parc Sales LLC,0.46,https://www.zillow.com/homedetails/Flushing-NY-11354/352280671_zpid/,,
25,31563,117,0.74,4,For Rent,Apartment For Rent,2150,,,15921 Grand Central Pkwy UNIT G,Jamaica,NY,11432,1,1,750,Apartment,,,,,,2150,,,,0.5,https://www.zillow.com/homedetails/15921-Grand-Central-Pkwy-UNIT-G-Jamaica-NY-11432/352276253_zpid/,40.716274,-73.80588
26,24569,127,0.53,2,For Rent,Apartment For Rent,3850,,,223-14 65th Ave #6A,Oakland Gardens,NY,11364,0,2,1400,Apartment,,,,4294,,3850,,,Voro Purple LLC,0.54,https://www.zillow.com/homedetails/223-14-65th-Ave-6A-Oakland-Gardens-NY-11364/339967006_zpid/,40.746704,-73.7533
27,58500,212,0.76,6,For Rent,Apartment For Rent,3300,,,6740 Yellowstone Blvd APT 3F,Flushing,NY,11375,2,2,1100,Apartment,,,274200,2350,,3300,,,Voro Purple LLC,0.54,https://www.zillow.com/homedetails/6740-Yellowstone-Blvd-APT-3F-Flushing-NY-11375/72649744_zpid/,40.727287,-73.84942
28,155901,636,0.67,16,For Rent,House For Rent,4999,,,151-01 85th Dr,Jamaica,NY,11432,7,2,2889,Single Family,,,,1948,,4999,,,LA Rosa Realty New York LLC,0.58,https://www.zillow.com/homedetails/151-01-85th-Dr-Jamaica-NY-11432/2056637403_zpid/,40.709793,-73.80709
29,46510,171,0.75,2,For Rent,Apartment For Rent,1800,,,98-52 62nd Rd #1,Rego Park,NY,11374,0,1,,Apartment,,,,,,1800,,,Highline Residential,0.75,https://www.zillow.com/homedetails/98-52-62nd-Rd-1-Rego-Park-NY-11374/352270934_zpid/,40.734104,-73.858376
30,,,,,For Rent,For Rent,,,,152-09 88th Ave # 1168,Jamaica,NY,11432,,,,Unknown,,,,,,,,,,0,https://www.zillow.com/b/152-09-88th-ave-jamaica-ny-BghTMR/,,
31,48729,339,0.39,8,For Rent,Apartment For Rent,4400,,,15209 88th Ave APT 503,Jamaica,NY,11432,3,3,,Apartment,,,,2100,,4400,,,EXR,0.79,https://www.zillow.com/homedetails/15209-88th-Ave-APT-503-Jamaica-NY-11432/2092325558_zpid/,40.706284,-73.80492
32,32260,153,0.58,4,For Rent,Apartment For Rent,2150,,,13735 Elder Ave,Flushing,NY,11355,1,1,500,Apartment,,,,1900,,2150,,,,0.83,https://www.zillow.com/homedetails/13735-Elder-Ave-Flushing-NY-11355/2072323519_zpid/,40.751286,-73.82549
33,39104,168,0.64,4,For Rent,Apartment For Rent,2000,,,6930 61st Rd #1,Middle Village,NY,11379,1,1,600,Apartment,,,,,,2000,,,,0.83,https://www.zillow.com/homedetails/6930-61st-Rd-1-Middle-Village-NY-11379/352270499_zpid/,40.719036,-73.89017
34,26407,191,0.38,4,For Rent,Apartment For Rent,1800,,,(undisclosed Address),Flushing,NY,11367,1,1,,Apartment,,,727900,2900,,1800,,,,0.83,https://www.zillow.com/homedetails/Flushing-NY-11367/32071429_zpid/,,
35,30868,149,0.57,6,For Rent,House For Rent,2950,,,7611 170th St,Flushing,NY,11366,2,1,,Single Family,,,1055100,2514,1078000,2950,,,Keller Williams Realty Greater,0.83,https://www.zillow.com/homedetails/7611-170th-St-Flushing-NY-11366/32076410_zpid/,40.726067,-73.79888
